"동별(1)",동별(2),동별(3),2015,2016,2017,2018,2019,2020,2021
"합계",도봉구,소계,147,146,147,147,149,149,145
"합계",도봉구,쌍문1동,-,15,15,15,15,15,...
"합계",도봉구,쌍문2동,-,8,7,7,7,7,...
"합계",도봉구,쌍문3동,-,5,5,5,5,5,...
"합계",도봉구,쌍문4동,-,11,11,11,11,11,...
"합계",도봉구,방학1동,-,12,12,12,12,12,...
"합계",도봉구,방학2동,-,6,6,6,6,6,...
"합계",도봉구,방학3동,-,18,18,17,18,18,...
"합계",도봉구,창1동,-,7,7,8,8,8,...
"합계",도봉구,창2동,-,8,9,9,9,9,...
"합계",도봉구,창3동,-,7,7,7,8,8,...
"합계",도봉구,창4동,-,9,9,10,9,9,...
"합계",도봉구,창5동,-,15,15,14,15,15,...
"합계",도봉구,도봉1동,-,12,12,12,12,12,...
"합계",도봉구,도봉2동,-,13,14,14,14,14,...
"합계",노원구,소계,257,260,265,263,264,259,261
"합계",노원구,월계1동,-,17,-,18,18,19,...
"합계",노원구,월계2동,-,15,-,17,17,18,...
"합계",노원구,월계3동,-,12,-,13,14,12,...
"합계",노원구,공릉2동,-,27,-,26,26,26,...
"합계",노원구,하계1동,-,14,-,13,13,14,...
"합계",노원구,하계2동,-,7,-,8,8,8,...
"합계",노원구,중계본동,-,19,-,18,17,17,...
"합계",노원구,중계1동,-,12,-,11,11,9,...
"합계",노원구,중계4동,-,14,-,14,14,14,...
"합계",노원구,상계1동,-,28,-,29,28,28,...
"합계",노원구,상계2동,-,15,-,14,15,15,...
"합계",노원구,상계5동,-,11,-,12,12,11,...
"합계",노원구,상계8동,-,4,-,4,4,4,...
"합계",노원구,상계9동,-,4,-,4,4,4,...
"합계",노원구,상계10동,-,5,-,5,5,4,...
"합계",노원구,상계3.4동,-,17,-,16,16,16,...
"합계",노원구,상계6.7동,-,10,-,10,10,10,...
"합계",노원구,중계2.3동,-,10,-,11,12,10,...
"합계",노원구,공릉1동,-,19,-,20,20,20,...
"합계",은평구,소계,171,170,176,176,180,178,175
"합계",은평구,녹번동,-,10,10,10,13,13,...
"합계",은평구,불광1동,-,19,21,21,21,21,...
"합계",은평구,갈현1동,-,8,10,8,8,7,...
"합계",은평구,갈현2동,-,7,4,7,7,8,...
"합계",은평구,구산동,-,11,8,11,11,11,...
"합계",은평구,대조동,-,5,12,6,6,5,...
"합계",은평구,응암1동,-,6,5,6,6,6,...
"합계",은평구,응암2동,-,7,6,8,9,10,...
"합계",은평구,신사1동,-,10,7,10,10,10,...
"합계",은평구,신사2동,-,9,3,10,10,10,...
"합계",은평구,증산동,-,9,5,10,10,10,...
"합계",은평구,수색동,-,11,10,10,9,8,...
"합계",은평구,진관동,-,38,10,39,40,40,...
"합계",은평구,불광2동,-,7,10,7,7,7,...
"합계",은평구,응암3동,-,5,14,5,5,4,...
"합계",은평구,역촌동,-,8,41,8,8,8,...
"합계",서대문구,소계,112,116,119,122,126,127,125
"합계",서대문구,천연동,-,-,12,12,...,...,...
"합계",서대문구,홍제1동,-,-,11,9,...,...,...
"합계",서대문구,홍제3동,-,-,9,11,...,...,...
"합계",서대문구,홍제2동,-,-,8,8,...,...,...
"합계",서대문구,홍은1동,-,-,11,9,...,...,...
"합계",서대문구,홍은2동,-,-,8,8,...,...,...
"합계",서대문구,남가좌1동,-,-,5,5,...,...,...
"합계",서대문구,남가좌2동,-,-,10,10,...,...,...
"합계",서대문구,북가좌1동,-,-,9,9,...,...,...
"합계",서대문구,북가좌2동,-,-,9,9,...,...,...
"합계",서대문구,충현동,-,-,3,3,...,...,...
"합계",서대문구,북아현동,-,-,6,11,...,...,...
"합계",서대문구,신촌동,-,-,7,7,...,...,...
"합계",서대문구,연희동,-,-,11,11,...,...,...
"합계",마포구,소계,167,170,170,172,173,169,170
"합계",마포구,용강동,-,10,10,10,11,11,...
"합계",마포구,대흥동,-,7,8,7,6,6,...
"합계",마포구,염리동,-,11,8,7,9,6,...
"합계",마포구,신수동,-,14,15,15,14,14,...
"합계",마포구,서교동,-,8,8,9,9,8,...
"합계",마포구,합정동,-,2,3,3,3,3,...
"합계",마포구,망원1동,-,5,5,5,5,5,...
"합계",마포구,망원2동,-,5,5,5,5,5,...
"합계",마포구,연남동,-,5,5,5,5,5,...
"합계",마포구,성산1동,-,5,5,5,5,5,...
"합계",마포구,성산2동,-,20,21,21,21,21,...
"합계",마포구,상암동,-,17,17,17,17,17,...
"합계",마포구,도화동,-,14,14,14,14,14,...
"합계",마포구,서강동,-,13,12,15,15,15,...
"합계",마포구,공덕동,-,21,21,22,22,22,...
"합계",마포구,아현동,-,13,13,12,12,12,...
"합계",양천구,소계,192,193,193,191,197,191,190
"합계",양천구,목1동,-,-,17,16,16,16,...
"합계",양천구,목2동,-,-,13,13,13,13,...
"합계",양천구,목3동,-,-,8,9,9,9,...
"합계",양천구,목4동,-,-,9,9,10,9,...
"합계",양천구,신월1동,-,-,5,5,6,5,...
"합계",양천구,신월2동,-,-,13,13,13,13,...
"합계",양천구,신월3동,-,-,7,7,7,7,...
"합계",양천구,신월4동,-,-,12,12,12,12,...
"합계",양천구,신월5동,-,-,7,7,7,7,...
"합계",양천구,신월6동,-,-,6,6,6,6,...
"합계",양천구,신월7동,-,-,8,8,8,8,...
"합계",양천구,신정1동,-,-,5,5,6,5,...
"합계",양천구,신정2동,-,-,14,14,14,14,...
"합계",양천구,신정3동,-,-,29,27,28,27,...
"합계",양천구,신정6동,-,-,5,5,6,5,...
"합계",양천구,신정7동,-,-,13,13,15,13,...
"합계",양천구,목5동,-,-,14,14,14,14,...
"합계",양천구,신정4동,-,-,8,8,7,8,...
"합계",강서구,소계,231,239,228,247,251,248,245
"합계",강서구,염창동,-,34,29,35,35,36,...
"합계",강서구,등촌1동,-,16,14,16,17,16,...
"합계",강서구,등촌2동,-,9,9,9,9,9,...
"합계",강서구,등촌3동,-,20,20,20,20,20,...
"합계",강서구,화곡본동,-,8,8,8,8,8,...
"합계",강서구,화곡2동,-,3,3,3,3,3,...
"합계",강서구,화곡3동,-,6,6,6,6,6,...
"합계",강서구,화곡4동,-,4,4,4,4,4,...
"합계",강서구,화곡6동,-,11,9,10,10,10,...
"합계",강서구,화곡8동,-,6,6,6,8,6,...
"합계",강서구,가양1동,-,16,14,16,16,16,...
"합계",강서구,가양2동,-,6,6,6,7,6,...
"합계",강서구,가양3동,-,8,7,8,8,8,...
"합계",강서구,발산1동,-,12,12,12,12,12,...
"합계",강서구,공항동,-,7,8,11,11,11,...
"합계",강서구,방화1동,-,24,26,27,27,27,...
"합계",강서구,방화2동,-,12,11,13,13,13,...
"합계",강서구,방화3동,-,18,18,18,18,18,...
"합계",강서구,화곡1동,-,10,9,10,10,10,...
"합계",강서구,우장산동,-,9,9,9,9,9,...
"합계",구로구,소계,210,210,211,215,219,221,222
"합계",구로구,신도림동,-,19,19,19,...,...,...
"합계",구로구,구로1동,-,15,15,15,...,...,...
"합계",구로구,구로3동,-,11,11,11,...,...,...
"합계",구로구,구로4동,-,12,12,14,...,...,...
"합계",구로구,구로5동,-,17,18,18,...,...,...
"합계",구로구,고척1동,-,19,19,19,...,...,...
"합계",구로구,고척2동,-,15,15,16,...,...,...
"합계",구로구,개봉2동,-,13,13,13,...,...,...
"합계",구로구,개봉3동,-,7,7,7,...,...,...
"합계",구로구,오류1동,-,13,13,15,...,...,...
"합계",구로구,오류2동,-,25,25,25,...,-,-
"합계",구로구,수궁동,-,12,12,12,...,...,...
"합계",구로구,가리봉동,-,4,4,4,...,...,...
"합계",구로구,구로2동,-,15,15,15,...,...,...
"합계",구로구,개봉1동,-,13,13,12,...,...,...
"합계",구로구,오류2동,-,-,-,-,-,...,...
"합계",구로구,항동,-,-,-,-,-,...,...
"합계",금천구,소계,81,80,79,80,85,83,84
"합계",금천구,가산동,-,7,8,...,...,7,...
"합계",금천구,독산1동,-,20,18,...,...,22,...
"합계",금천구,독산2동,-,3,3,...,...,3,...
"합계",금천구,독산3동,-,7,7,...,...,7,...
"합계",금천구,독산4동,-,6,6,...,...,6,...
"합계",금천구,시흥1동,-,10,10,...,...,11,...
"합계",금천구,시흥2동,-,10,10,...,...,10,...
"합계",금천구,시흥3동,-,4,4,...,...,4,...
"합계",금천구,시흥4동,-,6,6,...,...,6,...
"합계",금천구,시흥5동,-,7,7,...,...,7,...
"합계",영등포구,소계,200,202,201,203,205,202,199
"합계",영등포구,여의동,-,-,9,8,...,8,...
"합계",영등포구,당산1동,-,-,14,13,...,14,...
"합계",영등포구,당산2동,-,-,16,17,...,17,...
"합계",영등포구,양평1동,-,-,15,15,...,15,...
"합계",영등포구,양평2동,-,-,16,16,...,16,...
"합계",영등포구,신길1동,-,-,8,8,...,8,...
"합계",영등포구,신길3동,-,-,9,9,...,9,...
"합계",영등포구,신길4동,-,-,5,5,...,5,...
"합계",영등포구,신길5동,-,-,5,5,...,5,...
"합계",영등포구,신길6동,-,-,11,11,...,11,...
"합계",영등포구,신길7동,-,-,4,6,...,6,...
"합계",영등포구,대림1동,-,-,5,7,...,7,...
"합계",영등포구,대림2동,-,-,8,8,...,8,...
"합계",영등포구,대림3동,-,-,11,11,...,12,...
"합계",영등포구,영등포본동,-,-,11,11,...,10,...
"합계",영등포구,영등포동,-,-,15,14,...,14,...
"합계",영등포구,도림동,-,-,10,10,...,8,...
"합계",영등포구,문래동,-,-,29,29,...,29,...
"합계",동작구,소계,150,148,152,152,156,151,151
"합계",동작구,노량진2동,-,2,2,...,2,...,...
"합계",동작구,상도1동,-,19,20,...,20,...,...
"합계",동작구,상도2동,-,12,11,...,13,...,...
"합계",동작구,상도3동,-,5,5,...,5,...,...
"합계",동작구,상도4동,-,6,6,...,6,...,...
"합계",동작구,사당1동,-,4,4,...,4,...,...
"합계",동작구,사당3동,-,10,10,...,12,...,...
"합계",동작구,사당4동,-,6,6,...,6,...,...
"합계",동작구,사당5동,-,6,6,...,6,...,...
"합계",동작구,대방동,-,16,17,...,17,...,...
